,motif,score,task
388,ETS,0.00060227769427,"K562, real motif"
389,ETS,-0.00272116041742,"K562, real motif"
390,ETS,-0.00214298814535,"K562, real motif"
391,ETS,-0.00157370779198,"K562, real motif"
392,ETS,5.15569590789e-05,"K562, real motif"
393,ETS,0.00274550449103,"K562, real motif"
394,ETS,0.00291402847506,"K562, real motif"
395,ETS,-0.00101169105619,"K562, real motif"
396,ETS,0.000677882111631,"K562, real motif"
397,ETS,0.0021304062102,"K562, real motif"
398,ETS,0.000867121620104,"K562, real motif"
399,ETS,0.000723429373465,"K562, real motif"
400,ETS,-0.000173331995029,"K562, real motif"
401,ETS,0.00141016347334,"K562, real motif"
402,ETS,0.00201349356212,"K562, real motif"
403,ETS,0.000350343994796,"K562, real motif"
404,ETS,0.00225040107034,"K562, real motif"
405,ETS,0.000393251131754,"K562, real motif"
406,ETS,0.00273302220739,"K562, real motif"
407,ETS,0.0315294712782,"K562, real motif"
408,ETS,0.0325442291796,"K562, real motif"
409,ETS,0.0376730598509,"K562, real motif"
410,ETS,0.0327855721116,"K562, real motif"
411,ETS,0.0330598056316,"K562, real motif"
412,ETS,0.0428649634123,"K562, real motif"
413,ETS,0.0381462089717,"K562, real motif"
414,ETS,0.0430097989738,"K562, real motif"
415,ETS,0.035688996315,"K562, real motif"
416,ETS,0.036506768316,"K562, real motif"
417,ETS,0.0405371822417,"K562, real motif"
418,ETS,0.039983484894,"K562, real motif"
419,ETS,0.0360348410904,"K562, real motif"
420,ETS,0.0342814475298,"K562, real motif"
421,ETS,0.036079660058,"K562, real motif"
422,ETS,0.0289974696934,"K562, real motif"
423,ETS,0.0315133519471,"K562, real motif"
424,ETS,0.0322308689356,"K562, real motif"
425,ETS,0.0272011868656,"K562, real motif"
426,ETS,0.0263587776572,"K562, real motif"
427,ETS,0.00936611834913,"K562, real motif"
428,ETS,0.0117716165259,"K562, real motif"
429,ETS,0.014248598367,"K562, real motif"
430,ETS,0.0128880850971,"K562, real motif"
